Key,Description,JA,EN
SAY.Flowchart_1.1.ナレーション,,警察は後ろのドアを開き、サラリーマンを車の外に引きずり出した。,The police opened the rear door and dragged the worker out of the car.
SAY.Flowchart_1.2.警察官,,コイツだ！通報があったのは！,It's him! We got a police report!
SAY.Flowchart_1.4.警察官,,爆弾持ってるぞ！,He has a bomb!
SAY.Flowchart_1.3.警察官,,17時25分、現行犯で逮捕する！,"17:25, caught in the act!"
SAY.Flowchart_1.5.ナレーション,,...,...
SAY.Flowchart_1.11.ナレーション,,.....,.....
SAY.Flowchart_1.10.ナレーション,,.......,.......
SAY.Flowchart_1.9.ナレーション,,結局、サラリーマンの彼は爆発物所持の罪で起訴されたらしい。,"In the end, the office worker was indicted for possession of explosives."
SAY.Flowchart_1.8.ナレーション,,逮捕される直前、こちらを向いた彼の諦めとも悲しみとも取れない表情が、脳裏にこびりついて離れない。,"Just before his arrest, he turned around and looked at me with a look of resignation and sorrow that stuck in my mind."
SAY.Flowchart_1.7.ナレーション,,どこで選択を間違えたのだろう。,Where did I make the wrong choice?
SAY.Flowchart_1.6.ナレーション,,彼をどうにか救う方法があったんじゃないか。,There must have been a way to save him somehow.
SAY.Flowchart_1.12.ナレーション,,自責の念にかられ、運転手の職を引退することにした...,"Feeling guilty, I decided to retire as a driver..."
CHARACTER.ナレーション,,ナレーション,Narration
CHARACTER.警察官,,警察官,Police
